cable_id,cable_name,length_raw,length_km,rfs_year,is_planned,owners_raw,num_owners,num_landing_points,url,is_google,is_meta,is_amazon,is_microsoft,is_china
2africa,2Africa,"45,000 km",45000.0,2024.0,False,"Bayobab, China Mobile, Meta, Orange, Telecom Egypt, Vodafone, WIOCC, center3",8,50,https://www.2africacable.net/,0,1,0,0,1
5-villages-6-islands,5 Villages 6 Islands,355 km,355.0,2019.0,False,Tokyo Metropolitan Government,1,9,,0,0,0,0,0
acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),"3,000 km",3000.0,2009.0,False,Alaska Communications,1,4,https://www.alaskacommunications.com,0,0,0,0,0
adamasia-cable-system-1,Adamasia Cable System 1,"1,015 km",1015.0,2027.0,True,Solomon Island Submarine Cable Company,1,1,,0,0,0,0,0
aden-djibouti,Aden-Djibouti,269 km,269.0,1994.0,False,"Djibouti Telecom, Orange, Sparkle, Tata Communications, TeleYemen",5,2,https://www.teleyemen.com.ye/,0,0,0,0,0
adria-1,Adria-1,440 km,440.0,1996.0,False,"ALBtelecom, Hrvatski Telekom",2,3,,0,0,0,0,0
aec-1,AEC-1,"5,521 km",5521.0,2016.0,False,EXA Infrastructure,1,2,https://exainfra.net/,0,0,0,0,0
africa-1,Africa-1,"10,000 km",10000.0,2027.0,True,"G42, Mobily, Pakistan Telecommunications Company Ltd., TeleYemen, Telecom Egypt, Zain Omantel International, e&",7,11,,0,0,0,0,0
africa-coast-to-europe-ace,Africa Coast to Europe (ACE),"17,000 km",17000.0,2012.0,False,"Bayobab, Cable Consortium of Liberia, Canalink, Dolphin Telecom, GUILAB, Gambia Submarine Cable Company, International Mauritania Telecom, Orange, Orange Cameroun, Orange Cote d’Ivoire, Orange Mali, Republic of Cameroon, Republic of Equatorial Guinea, Republic of Gabon, Republic of Guinea Bissau, SBIN (Société Béninoise des Infrastructures Numériques du Bénin), STP Cabo, Sierra Leone Cable Company, Sonatel, Zamani Telecom",20,18,,0,0,0,0,0
airraq,Airraq,840 km,840.0,2025.0,False,"Unicom, Inc.",2,5,https://www.gci.com/bethel-airraq-network,0,0,0,0,0
