cable_id,cable_name,lp_id,lp_name,country
2africa,2Africa,luanda-angola,"Luanda, Angola",Angola
2africa,2Africa,manama-bahrain,"Manama, Bahrain",Bahrain
2africa,2Africa,moroni-comoros,"Moroni, Comoros",Comoros
2africa,2Africa,muanda-congo-dem-rep-,"Muanda, Congo, Dem. Rep.","Congo, Dem. Rep."
2africa,2Africa,pointe-noire-congo-rep-,"Pointe-Noire, Congo, Rep.","Congo, Rep."
2africa,2Africa,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",Côte d'Ivoire
2africa,2Africa,djibouti-city-djibouti,"Djibouti City, Djibouti",Djibouti
2africa,2Africa,port-said-egypt,"Port Said, Egypt",Egypt
2africa,2Africa,ras-ghareb-egypt,"Ras Ghareb, Egypt",Egypt
2africa,2Africa,suez-egypt,"Suez, Egypt",Egypt
2africa,2Africa,zafarana-egypt,"Zafarana, Egypt",Egypt
2africa,2Africa,marseille-france,"Marseille, France",France
2africa,2Africa,libreville-gabon,"Libreville, Gabon",Gabon
2africa,2Africa,accra-ghana,"Accra, Ghana",Ghana
2africa,2Africa,tympaki-greece,"Tympaki, Greece",Greece
2africa,2Africa,mumbai-india,"Mumbai, India",India
2africa,2Africa,al-faw-iraq,"Al Faw, Iraq",Iraq
2africa,2Africa,genoa-italy,"Genoa, Italy",Italy
2africa,2Africa,mombasa-kenya,"Mombasa, Kenya",Kenya
2africa,2Africa,mtwapa-kenya,"Mtwapa, Kenya",Kenya
2africa,2Africa,kuwait-city-kuwait,"Kuwait City, Kuwait",Kuwait
2africa,2Africa,mahajanga-madagascar,"Mahajanga, Madagascar",Madagascar
2africa,2Africa,maputo-mozambique,"Maputo, Mozambique",Mozambique
2africa,2Africa,nacala-mozambique,"Nacala, Mozambique",Mozambique
2africa,2Africa,kwa-ibo-nigeria,"Kwa Ibo, Nigeria",Nigeria
2africa,2Africa,lagos-nigeria,"Lagos, Nigeria",Nigeria
2africa,2Africa,barka-oman,"Barka, Oman",Oman
2africa,2Africa,salalah-oman,"Salalah, Oman",Oman
2africa,2Africa,karachi-pakistan,"Karachi, Pakistan",Pakistan
2africa,2Africa,carcavelos-portugal,"Carcavelos, Portugal",Portugal
2africa,2Africa,doha-qatar,"Doha, Qatar",Qatar
2africa,2Africa,al-khobar-saudi-arabia,"Al Khobar, Saudi Arabia",Saudi Arabia
2africa,2Africa,duba-saudi-arabia,"Duba, Saudi Arabia",Saudi Arabia
2africa,2Africa,jeddah-saudi-arabia,"Jeddah, Saudi Arabia",Saudi Arabia
2africa,2Africa,yanbu-saudi-arabia,"Yanbu, Saudi Arabia",Saudi Arabia
2africa,2Africa,dakar-senegal,"Dakar, Senegal",Senegal
2africa,2Africa,carana-seychelles,"Carana, Seychelles",Seychelles
2africa,2Africa,berbera-somalia,"Berbera, Somalia",Somalia
2africa,2Africa,mogadishu-somalia,"Mogadishu, Somalia",Somalia
2africa,2Africa,amanzimtoti-south-africa,"Amanzimtoti, South Africa",South Africa
2africa,2Africa,duynefontein-south-africa,"Duynefontein, South Africa",South Africa
2africa,2Africa,gqeberha-south-africa,"Gqeberha, South Africa",South Africa
2africa,2Africa,yzerfontein-south-africa,"Yzerfontein, South Africa",South Africa
2africa,2Africa,barcelona-spain,"Barcelona, Spain",Spain
2africa,2Africa,gran-canaria-canary-islands-spain,"Gran Canaria, Canary Islands, Spain",Spain
2africa,2Africa,port-sudan-sudan,"Port Sudan, Sudan",Sudan
2africa,2Africa,dar-es-salaam-tanzania,"Dar Es Salaam, Tanzania",Tanzania
2africa,2Africa,abu-dhabi-united-arab-emirates,"Abu Dhabi, United Arab Emirates",United Arab Emirates
2africa,2Africa,kalba-united-arab-emirates,"Kalba, United Arab Emirates",United Arab Emirates
2africa,2Africa,bude-united-kingdom,"Bude, United Kingdom",United Kingdom
5-villages-6-islands,5 Villages 6 Islands,aogashima-japan,"Aogashima, Japan",Japan
5-villages-6-islands,5 Villages 6 Islands,hachijo-japan,"Hachijo, Japan",Japan
5-villages-6-islands,5 Villages 6 Islands,kozushima-japan,"Kozushima, Japan",Japan
5-villages-6-islands,5 Villages 6 Islands,mikurashima-japan,"Mikurashima, Japan",Japan
5-villages-6-islands,5 Villages 6 Islands,miyake-japan,"Miyake, Japan",Japan
5-villages-6-islands,5 Villages 6 Islands,niijima-japan,"Niijima, Japan",Japan
5-villages-6-islands,5 Villages 6 Islands,oshima-japan,"Oshima, Japan",Japan
5-villages-6-islands,5 Villages 6 Islands,shikinejima-japan,"Shikinejima, Japan",Japan
5-villages-6-islands,5 Villages 6 Islands,toshima-japan,"Toshima, Japan",Japan
acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),anchorage-ak-united-states,"Anchorage, AK, United States",United States
acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),florence-or-united-states,"Florence, OR, United States",United States
acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),homer-ak-united-states,"Homer, AK, United States",United States
acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),nikiski-ak-united-states,"Nikiski, AK, United States",United States
adamasia-cable-system-1,Adamasia Cable System 1,honiara-solomon-islands,"Honiara, Solomon Islands",Solomon Islands
aden-djibouti,Aden-Djibouti,djibouti-city-djibouti,"Djibouti City, Djibouti",Djibouti
aden-djibouti,Aden-Djibouti,aden-yemen,"Aden, Yemen",Yemen
adria-1,Adria-1,durres-albania,"Durres, Albania",Albania
adria-1,Adria-1,dubrovnik-croatia,"Dubrovnik, Croatia",Croatia
adria-1,Adria-1,corfu-greece,"Corfu, Greece",Greece
aec-1,AEC-1,killala-ireland,"Killala, Ireland",Ireland
aec-1,AEC-1,shirley-ny-united-states,"Shirley, NY, United States",United States
africa-1,Africa-1,bejaia-algeria,"Bejaia, Algeria",Algeria
africa-1,Africa-1,djibouti-city-djibouti,"Djibouti City, Djibouti",Djibouti
africa-1,Africa-1,ras-ghareb-egypt,"Ras Ghareb, Egypt",Egypt
africa-1,Africa-1,sidi-kerir-egypt,"Sidi Kerir, Egypt",Egypt
africa-1,Africa-1,marseille-france,"Marseille, France",France
africa-1,Africa-1,mombasa-kenya,"Mombasa, Kenya",Kenya
africa-1,Africa-1,karachi-pakistan,"Karachi, Pakistan",Pakistan
africa-1,Africa-1,duba-saudi-arabia,"Duba, Saudi Arabia",Saudi Arabia
africa-1,Africa-1,berbera-somalia,"Berbera, Somalia",Somalia
africa-1,Africa-1,kalba-united-arab-emirates,"Kalba, United Arab Emirates",United Arab Emirates
africa-1,Africa-1,al-hudaydah-yemen,"Al Hudaydah, Yemen",Yemen
africa-coast-to-europe-ace,Africa Coast to Europe (ACE),cotonou-benin,"Cotonou, Benin",Benin
africa-coast-to-europe-ace,Africa Coast to Europe (ACE),abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",Côte d'Ivoire
africa-coast-to-europe-ace,Africa Coast to Europe (ACE),bata-equatorial-guinea,"Bata, Equatorial Guinea",Equatorial Guinea
