lp_id,lp_name,country,cable_count,spof_risk
batam-indonesia,"Batam, Indonesia",Indonesia,20,CRITICAL
mumbai-india,"Mumbai, India",India,16,CRITICAL
marseille-france,"Marseille, France",France,16,CRITICAL
tuas-singapore,"Tuas, Singapore",Singapore,16,CRITICAL
jeddah-saudi-arabia,"Jeddah, Saudi Arabia",Saudi Arabia,14,VERY HIGH
shima-japan,"Shima, Japan",Japan,12,VERY HIGH
fujairah-united-arab-emirates,"Fujairah, United Arab Emirates",United Arab Emirates,12,VERY HIGH
changi-north-singapore,"Changi North, Singapore",Singapore,11,VERY HIGH
sydney-nsw-australia,"Sydney, NSW, Australia",Australia,10,HIGH
helsinki-finland,"Helsinki, Finland",Finland,10,HIGH
busan-south-korea,"Busan, South Korea",South Korea,10,HIGH
fortaleza-brazil,"Fortaleza, Brazil",Brazil,10,HIGH
piti-guam,"Piti, Guam",Guam,9,HIGH
djibouti-city-djibouti,"Djibouti City, Djibouti",Djibouti,9,HIGH
songkhla-thailand,"Songkhla, Thailand",Thailand,9,HIGH
maruyama-japan,"Maruyama, Japan",Japan,9,HIGH
zafarana-egypt,"Zafarana, Egypt",Egypt,9,HIGH
suva-fiji,"Suva, Fiji",Fiji,9,HIGH
karachi-pakistan,"Karachi, Pakistan",Pakistan,9,HIGH
jakarta-indonesia,"Jakarta, Indonesia",Indonesia,9,HIGH
chennai-india,"Chennai, India",India,9,HIGH
tanjung-pakis-indonesia,"Tanjung Pakis, Indonesia",Indonesia,9,HIGH
carcavelos-portugal,"Carcavelos, Portugal",Portugal,8,HIGH
mazara-del-vallo-italy,"Mazara del Vallo, Italy",Italy,8,HIGH
tanshui-taiwan,"Tanshui, Taiwan",Taiwan,8,HIGH
manado-indonesia,"Manado, Indonesia",Indonesia,8,HIGH
barka-oman,"Barka, Oman",Oman,8,HIGH
bude-united-kingdom,"Bude, United Kingdom",United Kingdom,8,HIGH
rio-de-janeiro-brazil,"Rio de Janeiro, Brazil",Brazil,8,HIGH
boca-raton-fl-united-states,"Boca Raton, FL, United States",United States,8,HIGH
san-juan-pr-united-states,"San Juan, PR, United States",United States,8,HIGH
toucheng-taiwan,"Toucheng, Taiwan",Taiwan,8,HIGH
lagos-nigeria,"Lagos, Nigeria",Nigeria,8,HIGH
