lp_id,lp_name,country,cable_count
batam-indonesia,"Batam, Indonesia",Indonesia,20
marseille-france,"Marseille, France",France,16
tuas-singapore,"Tuas, Singapore",Singapore,16
mumbai-india,"Mumbai, India",India,16
jeddah-saudi-arabia,"Jeddah, Saudi Arabia",Saudi Arabia,14
shima-japan,"Shima, Japan",Japan,12
fujairah-united-arab-emirates,"Fujairah, United Arab Emirates",United Arab Emirates,12
changi-north-singapore,"Changi North, Singapore",Singapore,11
fortaleza-brazil,"Fortaleza, Brazil",Brazil,10
sydney-nsw-australia,"Sydney, NSW, Australia",Australia,10
helsinki-finland,"Helsinki, Finland",Finland,10
busan-south-korea,"Busan, South Korea",South Korea,10
tanjung-pakis-indonesia,"Tanjung Pakis, Indonesia",Indonesia,9
chennai-india,"Chennai, India",India,9
jakarta-indonesia,"Jakarta, Indonesia",Indonesia,9
karachi-pakistan,"Karachi, Pakistan",Pakistan,9
suva-fiji,"Suva, Fiji",Fiji,9
piti-guam,"Piti, Guam",Guam,9
zafarana-egypt,"Zafarana, Egypt",Egypt,9
maruyama-japan,"Maruyama, Japan",Japan,9
songkhla-thailand,"Songkhla, Thailand",Thailand,9
djibouti-city-djibouti,"Djibouti City, Djibouti",Djibouti,9
carcavelos-portugal,"Carcavelos, Portugal",Portugal,8
mazara-del-vallo-italy,"Mazara del Vallo, Italy",Italy,8
tanshui-taiwan,"Tanshui, Taiwan",Taiwan,8
manado-indonesia,"Manado, Indonesia",Indonesia,8
barka-oman,"Barka, Oman",Oman,8
bude-united-kingdom,"Bude, United Kingdom",United Kingdom,8
rio-de-janeiro-brazil,"Rio de Janeiro, Brazil",Brazil,8
boca-raton-fl-united-states,"Boca Raton, FL, United States",United States,8
san-juan-pr-united-states,"San Juan, PR, United States",United States,8
toucheng-taiwan,"Toucheng, Taiwan",Taiwan,8
lagos-nigeria,"Lagos, Nigeria",Nigeria,8
las-toninas-argentina,"Las Toninas, Argentina",Argentina,7
tallinn-estonia,"Tallinn, Estonia",Estonia,7
hulhumale-maldives,"Hulhumale, Maldives",Maldives,7
chikura-japan,"Chikura, Japan",Japan,7
